"HostnameIP","Status"
"spbw10mj070lla","Inactive"
"spbw10mj070l06","Inactive"
"sp8w10mj070lkh","Inactive"
"sp8w10mj070kz7","Inactive"
"sp3w10mj073k1m","Inactive"
"sp3w10mj073jy4","Inactive"
"sp3w10mj070lqq","Inactive"
"sp3w10mj070ll5","Inactive"
"sp3w10mj070lgc","Inactive"
"sp3w10mj070lf2","Inactive"
"sp3w10mj070lev","Inactive"
"sp3mj070lgy","Inactive"
"sp2w10mj070lj9","Inactive"
"soaw8mj070lma","Inactive"
"soaw7mj070lh8","Inactive"
"soaw10mj077fg8","Inactive"
"soaw10mj073jyk","Inactive"
"soaw10mj070lmh","Inactive"
"soaw10mj070lma","Inactive"
"soaw10mj070l06","Inactive"
"evw10speidtic2","Inactive"
"evw10speidtic1","Inactive"
"172.28.51.10","Inactive"
"172.28.220.33","Inactive"
"172.28.220.25","Inactive"
"172.28.220.2","Inactive"
"172.28.220.17","Inactive"
"172.28.220.131","Inactive"
"172.28.220.130","Inactive"
"172.27.3.5","Inactive"
"172.27.3.4","Inactive"
"172.27.214.76","Inactive"
"172.27.214.75","Inactive"
"172.27.214.74","Inactive"
"172.27.207.72","Inactive"
"172.27.207.56","Inactive"
"172.27.207.19","Inactive"
"172.27.206.44","Inactive"
"172.27.206.4","Inactive"
"172.27.206.3","Inactive"
"172.27.206.109","Inactive"
"172.27.204.27","Inactive"
"172.27.201.45","Inactive"
"172.27.109.24","Inactive"
"172.27.109.238","Inactive"
"172.27.109.237","Inactive"
"172.27.109.236","Inactive"
"172.27.109.235","Inactive"
"172.27.109.234","Inactive"
"172.27.109.233","Inactive"
"172.27.109.232","Inactive"
"172.27.109.231","Inactive"
"172.27.109.230","Inactive"
"172.27.109.23","Inactive"
"172.27.109.229","Inactive"
"172.27.109.22","Inactive"
"172.27.109.21","Inactive"
"172.27.101.90","Inactive"
"172.27.101.23","Inactive"
"172.27.101.16","Inactive"
"172.27.101.14","Inactive"
"172.27.101.1","Inactive"
"172.17.3.5","Inactive"
"172.17.3.4","Inactive"
"172.17.219.2","Inactive"
"172.17.219.17","Inactive"
"172.17.216.18","Inactive"
"172.17.216.138","Inactive"
"172.17.208.8","Inactive"
"172.17.206.85","Inactive"
"172.17.206.76","Inactive"
"172.17.206.63","Inactive"
"172.17.206.29","Inactive"
"172.17.206.2","Inactive"
"172.17.206.111","Inactive"
"172.17.206.1","Inactive"
"172.17.204.39","Inactive"
"172.17.204.38","Inactive"
"172.17.204.30","Inactive"
"172.17.204.24","Inactive"
"172.17.204.16","Inactive"
"172.17.201.52","Inactive"
"172.17.201.115","Inactive"
"172.17.109.28","Inactive"
"172.17.109.27","Inactive"
"172.17.109.24","Inactive"
"172.17.109.238","Inactive"
"172.17.109.237","Inactive"
"172.17.109.234","Inactive"
"172.17.109.233","Inactive"
"172.17.109.232","Inactive"
"172.17.109.231","Inactive"
"172.17.109.230","Inactive"
"172.17.109.23","Inactive"
"172.17.109.229","Inactive"
"10.60.77.78","Inactive"
"10.60.74.231","Inactive"
"10.60.74.201","Inactive"
"10.60.74.138","Inactive"
"10.5.15.103","Inactive"
"10.5.15.102","Inactive"
"10.3.118.120","Inactive"
"10.3.118.118","Inactive"
"10.3.118.113","Inactive"
"10.250.71.6","Inactive"
"10.250.71.36","Inactive"
"10.250.71.28","Inactive"
"10.250.71.20","Inactive"
"10.250.71.2","Inactive"
"10.250.71.12","Inactive"
"10.250.44.92","Inactive"
"10.250.44.100","Inactive"
"10.250.40.82","Inactive"
"10.250.40.78","Inactive"
"10.250.40.70","Inactive"
"10.250.40.66","Inactive"
"10.250.40.178","Inactive"
"10.250.40.174","Inactive"
"10.250.40.166","Inactive"
"10.250.40.162","Inactive"
"10.250.40.14","Inactive"
"10.250.40.110","Inactive"
"10.250.38.86","Inactive"
"10.250.38.82","Inactive"
"10.250.38.14","Inactive"
"10.250.38.10","Inactive"
"10.249.10.149","Inactive"
"10.249.10.148","Inactive"
"10.249.10.147","Inactive"
"10.15.98.51","Inactive"
"10.15.15.253","Inactive"
"10.15.101.5","Inactive"
"10.15.101.252","Inactive"
"10.101.58.253","Inactive"
"10.101.58.252","Inactive"
"10.101.57.253","Inactive"
"10.101.57.252","Inactive"
